Bedrooms,Bathrooms,Toilets,ParkingSpace,PropertyType,State,SalePrice
5,6,6,4,Detached Duplex,Lagos,260000000.0
4,4,5,4,Detached Duplex,Abuja,80000000.0
4,5,5,6,Detached Duplex,Lagos,70000000.0
5,5,6,4,Detached Duplex,Lagos,90000000.0
5,6,7,5,Detached Duplex,Lagos,470000000.0
4,4,5,4,Detached Duplex,Lagos,40000000.0
5,5,6,4,Detached Duplex,Lagos,90000000.0
5,5,6,1,Detached Duplex,Lagos,200000000.0
2,5,5,4,Semi Detached Bungalow,Abuja,30000000.0
5,5,6,4,Detached Duplex,Abuja,150000000.0
5,5,3,6,Detached Duplex,Abuja,250000000.0
6,6,7,1,Detached Duplex,Abuja,300000000.0
4,5,5,4,Semi Detached Duplex,Lagos,70000000.0
2,5,9,4,Detached Bungalow,Lagos,30000000.0
4,3,3,4,Terraced Duplexes,Abuja,49900000.0
5,6,7,4,Detached Duplex,Lagos,120000000.0
4,4,5,4,Detached Duplex,Lagos,70000000.0
4,5,5,4,Semi Detached Duplex,Rivers,85000000.0
4,4,4,2,Semi Detached Duplex,Abuja,13000000.0
5,5,6,6,Detached Duplex,Lagos,325000000.0
4,4,5,3,Terraced Duplexes,Abuja,65000000.0
5,5,6,4,Detached Duplex,Lagos,130000000.0
3,3,4,3,Semi Detached Duplex,Lagos,50000000.0
4,5,5,4,Detached Duplex,Lagos,65000000.0
6,6,7,5,Detached Duplex,Lagos,140000000.0
5,5,6,5,Detached Duplex,Lagos,80000000.0
8,1,1,4,Detached Duplex,Oyo,150000000.0
5,5,6,4,Detached Duplex,Abuja,150000000.0
4,4,5,4,Semi Detached Duplex,Lagos,240000000.0
4,5,5,4,Detached Duplex,Lagos,110000000.0
5,5,6,5,Detached Duplex,Lagos,450000000.0
5,5,6,5,Detached Duplex,Lagos,500000000.0
3,4,4,4,Terraced Duplexes,Lagos,240000000.0
4,4,5,4,Terraced Duplexes,Abuja,60000000.0
5,6,6,4,Detached Duplex,Lagos,120000000.0
4,4,5,4,Terraced Duplexes,Lagos,115000000.0
3,2,2,4,Detached Bungalow,Oyo,11000000.0
5,7,7,7,Detached Duplex,Lagos,450000000.0
4,4,4,3,Terraced Duplexes,Lagos,180000000.0
6,6,7,4,Detached Duplex,Lagos,275000000.0
4,4,5,7,Detached Duplex,Lagos,190000000.0
3,3,3,4,Detached Bungalow,Lagos,24000000.0
4,4,5,4,Terraced Duplexes,Lagos,75000000.0
4,5,5,4,Block of Flats,Imo,130000000.0
5,5,6,1,Detached Duplex,Lagos,250000000.0
6,6,7,6,Detached Duplex,Lagos,1300000000.0
4,4,5,4,Semi Detached Duplex,Lagos,48000000.0
4,5,5,2,Detached Bungalow,Ogun,6000000.0
3,3,4,2,Detached Bungalow,Lagos,42000000.0
5,5,5,4,Detached Duplex,Lagos,85000000.0
4,4,5,4,Detached Duplex,Lagos,90000000.0
4,4,5,3,Semi Detached Duplex,Lagos,65000000.0
3,2,2,2,Block of Flats,Lagos,300000000.0
4,4,5,4,Terraced Duplexes,Lagos,70000000.0
3,3,4,3,Semi Detached Duplex,Lagos,85000000.0
4,4,5,4,Semi Detached Duplex,Lagos,75000000.0
4,5,5,4,Semi Detached Duplex,Lagos,80000000.0
5,5,6,5,Detached Duplex,Lagos,160000000.0
4,5,5,5,Detached Bungalow,Rivers,32000000.0
3,4,5,6,Detached Bungalow,Lagos,20000000.0
4,4,5,3,Detached Duplex,Lagos,75000000.0
5,5,6,3,Terraced Duplexes,Lagos,65000000.0
4,4,5,4,Terraced Duplexes,Abuja,45000000.0
5,5,6,5,Detached Duplex,Lagos,85000000.0
3,4,4,4,Terraced Duplexes,Lagos,36000000.0
5,5,6,3,Detached Duplex,Lagos,375000000.0
5,7,8,6,Detached Duplex,Lagos,300000000.0
6,6,7,3,Detached Duplex,Ogun,140000000.0
1,5,5,4,Detached Bungalow,Lagos,30000000.0
3,3,4,4,Block of Flats,Lagos,55000000.0
9,9,1,1,Detached Duplex,Lagos,70000000.0
4,4,5,4,Terraced Duplexes,Abuja,65000000.0
3,2,2,4,Block of Flats,Edo,25000000.0
5,5,6,8,Detached Duplex,Abuja,120000000.0
4,5,5,3,Terraced Duplexes,Lagos,240000000.0
3,2,2,2,Detached Bungalow,Lagos,8000000.0
3,5,3,4,Terraced Duplexes,Lagos,32000000.0
4,4,4,4,Detached Bungalow,Abuja,30000000.0
3,3,4,4,Detached Bungalow,Lagos,16000000.0
4,4,5,3,Terraced Duplexes,Lagos,85000000.0
4,4,5,4,Terraced Duplexes,Lagos,45000000.0
4,4,5,2,Semi Detached Duplex,Lagos,60000000.0
5,5,6,4,Detached Duplex,Lagos,600000000.0
3,3,4,4,Terraced Duplexes,Lagos,34900000.0
3,3,3,4,Detached Bungalow,Oyo,18000000.0
5,4,5,3,Detached Duplex,Lagos,68000000.0
2,5,5,4,Terraced Duplexes,Lagos,35000000.0
5,5,6,4,Detached Duplex,Lagos,1350000000.0
4,4,5,3,Terraced Duplexes,Lagos,380000000.0
5,6,7,5,Detached Duplex,Lagos,120000000.0
7,7,8,4,Detached Duplex,Lagos,200000000.0
3,4,4,3,Detached Bungalow,Lagos,33000000.0
8,8,8,4,Detached Duplex,Lagos,45000000.0
5,5,6,5,Detached Duplex,Lagos,1100000000.0
